,NC Number,Created Date,NC Type,Discovery/Plant Area,Discovery/Plant Area Name,Product,Initial Failure Mode,Lot Number,Closed Date,NC TAT
0,NC-IL081-07711,2019-01-17 22:19:26.477,Internal,S7P,Packer-IL081,8881907003,SFF-SPIC-V-Labeling/Print 1,19A22163X,2019-03-25 20:25:03.513,66.0
1,NC-IL081-07740,2019-01-18 19:01:28.863,Internal,WHS,WAREHOUSE-IL081,8980-,PR-Other,18G03863,2020-03-27 15:22:13.973,433.0
2,NC-IL081-07782,2019-01-20 07:37:12.767,Internal,C19,Press 19-IL081,8506SA,CFF-V-Flash (Functional Area),18L18563,2019-03-25 19:46:50.590,64.0
3,NC-IL081-07833,2019-01-22 06:48:11.300,Internal,C70,Press 70-IL081,8906,CFF-D-Molding 1,18K14563,2019-03-25 19:23:39.480,62.0
4,NC-IL081-07837,2019-01-22 10:47:08.957,Internal,C46,Press 46-IL081,V8536,CFF-D-Molding 1,19A07163,2019-04-24 18:58:17.670,92.0
5,NC-IL081-07932,2019-01-23 22:12:31.527,Internal,C31,Press 31-IL081,31142222,PR-Planned Deviation,19A25863,2019-07-22 18:41:30.183,179.0
6,NC-IL081-08021,2019-01-25 12:57:44.200,Internal,,,4502570,SFF-M-V-Grease/Lint/Particulate 1,18J17063X,2019-04-15 18:52:05.893,80.0
7,NC-IL081-08057,2019-01-27 18:09:01.653,Internal,C80,Press 80-IL081,47PSS,CFF-V-Incorrect Items,18K19063,2019-04-02 20:59:36.513,65.0
8,NC-IL081-08195,2019-01-31 01:46:03.763,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32163X,2019-04-17 20:53:54.873,76.0
9,NC-IL081-08196,2019-01-31 02:14:03.117,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32263X,2019-04-17 21:06:25.647,76.0
10,NC-IL081-08198,2019-01-31 02:29:08.597,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32363X,2019-04-15 14:04:09.990,74.0
11,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
12,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
13,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
14,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
15,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
16,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18L09463,2019-03-29 19:25:36.417,56.0
17,NC-IL081-08231,2019-01-31 19:53:40.300,Internal,C89,Press 89-IL081,31353603,DHRDOC,18H11763,,
18,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
19,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
20,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
21,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
22,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
23,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18J09263,2019-03-29 19:25:36.417,56.0
24,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18M17263,2019-03-29 19:25:36.417,56.0
