Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
300620,"Resin, Polypropylene, Total Petrochemicals 3622",Active,3,,Part
301001,"Resin, Polypropylene PF 535",Active,3,Compliant,Part
301006,POLYPRO 7824MR,Active,0,,Part
301009,"Resin, Clarified Polypropylene, Grade P5M6K-080",Active,0,Compliant,Part
380226,"Flexographic Ink for In-Line Printing, PMS 281, Blue",Discontinued,2,,Part
380296,"20 GA Color Striper Ink Wheel, Pink, Domestic",Discontinued,2,,Part
380297,"21 GA Color Striper Ink Wheel, Lavender, Domestic",Discontinued,2,,Part
400132,"Colorant, Dark Green, Opaque, Concentrate, CPP17549",Active,1,,Part
400145,"Colorant, Lavender, Opaque, Concentrate",Active,1,,Part
420600,"Resin Concentrate, Milliken Clear Tint PP Amber 6298",Discontinued,2,,Part
420650,"Resin Concentrate, Milliken Clear Tint PP Amber 6298",Active,1,,Part
3000311_APCI,"Cap, 12 mL, Thinwall, Clear",Discontinued,2,,Part
3100510,"Sleeve, 12 mL, Rib, Open",Discontinued,2,,Part
3100601,"Sleeve, 12 mL, Closed",Active,1,,Part
3131010P,412 Barrel Phantom,Active,1,,Part
3150401,"Molded Component, Barrel, 12 mL Luer Slip",Active,1,,Part
3150403,12 mL Printed MAGELLAN Barrel - P5M6K-080,Active,1,,Part
3150419,"Barrel, 12 mL, No Plunger Stop, Total 3622 Resin",Active,1,,Part
3150420,"Barrel, 12 mL",Active,1,,Part
3150429,"Barrel, 12 mL, Luer Lock without Stop. PF535",Active,1,,Part
3150438,"Barrel, 12 mL, Regular no Plunger Stop, P5M6K-080",Active,1,,Part
3150450,"Barrel, 12 mL Luer Lock with Finger Flange",Active,3,,Part
3154020,"Barrel, 12 mL, Luer Lock, P5M6K-080",Active,2,,Part
3154021,"Barrel, 12 mL, SR, P5M6K-080",Active,2,,Part
3154021CM28,"Barrel, 12 mL, SR, P5M6K-080, Wide Finger Flange",Active,1,,Part
3154023,"Barrel, 12 mL, Eccentric Tip (SE)",Discontinued,2,,Part
3154024,BBL 12 LK 7824MR W/O FILL RING,Discontinued,2,,Part
3156001,"Molded Component, 412 Curved Tip Barrel",Active,2,,Part
3156002,412 Syringe Assembly Phantom,Active,2,,Part
3157603,"Molded Component, Barrel 907 S-O",Active,2,,Part
3157616,"Barrel, 10 mL, Amber, Oral - Milliken",Active,2,,Part
3170645,"Smooth Rubber Tip, 12 mL, Latex Free, Kokoku",Active,1,,Part
3200800,PLGR 10ML PURPLE 4-LOBE,Active,1,,Part
3200804,12 mL MAGELLAN Plunger - PF535,Active,1,,Part
3200805,Plunger 10mL Purple 3-Lobe,Active,2,,Part
3201403,4 Lobe Plunger Phantom,Active,1,,Part
3201413,3 Lobe Plunger Phantom,Active,1,,Part
3201428,"Plunger, 12 mL, 3 Lobe, Green",Active,1,,Part
3201429,"Plunger, 12 mL, 4 Lobe, Green",Active,1,,Part
3201430,"Plunger, 12 mL with Extended Flange",Active,1,,Part
4001204,"Smooth Rubber Tip with Trim, 12 mL, Latex Free, Kokoku",Active,1,Compliant,Part
4001801,"Rubber Tip, 12 mL, Latex Free",Active,1,Non-Compliant,Part
